City,Area,LocationType,SyncId,Active
Cochin,Trichur,AREA,A000000134,1
WARANGAL,UNDER BRIDGE ROAD,AREA,A000000135,1
PATHANAMTHITA,VADASSERIKARA,AREA,A000000136,1
VARDHANNAPET,VARDHANNAPET,AREA,A000000137,1
TRIVANDRUM,VARKALA,AREA,A000000138,1
TRIVANDRUM,VATTIYOORCAVU,AREA,A000000139,1
TRIVANDRUM,VELLAYAMBALAM,AREA,A000000140,1
TRIVANDRUM,VENJARAMOODU,AREA,A000000141,1
VENKATAPURAM,VENKATAPURAM,AREA,A000000142,1
MAHABOOBNAGAR,VENUGONDA,AREA,A000000143,1
VIKARABAD,VIKARABAD,AREA,A000000144,1
VM BANJARU,VM BANJARU,AREA,A000000145,1
Cochin,vyttila,AREA,A000000146,1
WANAPARTHY,WANAPARTHY,AREA,A000000147,1
WYRA,WYRA,AREA,A000000148,1
KHAMMAM,WYRA ROAD,AREA,A000000149,1
YELLANDY,YELLANDU,AREA,A000000150,1
YERRAVALLY X ROAD,YERRAVALLY X ROAD,AREA,A000000151,1
