Varchar(30),Datetime(dd/mm/yyyy),int,varchar(25),int,"numeric(9,2)","numeric(9,2)","numeric(15,2)","numeric(9,2)","numeric(9,2)","numeric(15,2)","numeric(15,2)"
DistInvDocId,VDate,SyncId,PriceList,ItemId,Qty,Rate,Amount,taxPer,Tax_Amt,ExciseAmount,Net_Total
,,,,,,,,,,,
1000000003,11/04/2015,1000909,,M856-030,26,168.08,5029.82,,,,828838
1000000008,11/04/2015,1000909,,M856-030,17500,9.51,196539.87,,,,525985
1000000014,13/04/2015,1000909,,M856-030,70,52.43,4223.83,,,,1017147
1000000022,14/04/2015,1000909,,M856-030,3,840,2891.54,,,,4327
1000000035,14/04/2015,1000909,,M856-030,192,309.41,68373.95,,,,1369073
1000000038,14/04/2015,1000909,,M856-030,30,126.61,4500.07,,,,55291
1000000050,16/04/2015,1000909,,M856-030,1,253.12,299.01,,,,14526
1000000063,16/04/2015,1000909,,M856-030,500,5.96,3529.98,,,,783850
1000000065,16/04/2015,1000909,,M856-030,90,824.51,87655.41,,,,365312
1000000082,17/04/2015,1000909,,M856-030,13,64.2,957.71,,,,255126
1000000104,18/04/2015,1000909,,M856-030,75,15.79,1402.94,,,,1098034
1000000114,20/04/2015,1000909,,M856-030,20,10.2,234.09,,,,19330
1000000120,20/04/2015,1000909,,M856-030,400,307.79,145432.11,,,,1470755
1000000137,21/04/2015,1000909,,M856-030,767,15.09,13322.74,,,,31181
1000000161,21/04/2015,1000909,,M856-030,25,240.55,7103.65,,,,1499859
1000000177,23/04/2015,1000909,,M856-030,6,1210.3,8357.92,,,,1257074
1000000186,23/04/2015,1000909,,M856-030,675,398.88,309887.62,,,,1792215
1000000198,24/04/2015,1000909,,M856-030,50,224.93,12944.04,,,,87437
1000000209,24/04/2015,1000909,,M856-030,500,5.68,3266.85,,,,1355154
1000000215,24/04/2015,1000909,,M856-030,240,131.73,36387.18,,,,569249
1000000226,25/04/2015,1000909,,M856-030,5,9.6,55,,,,55
1000000236,25/04/2015,1000909,,M856-030,60,254.52,17575.96,,,,1379332
1000000246,26/04/2015,1000909,,M407-012,30000,3.77,133475.72,,,,1500900
1000000257,27/04/2015,1000909,,M407-012,4000,7.88,36299.8,,,,738950
1000000262,27/04/2015,1000909,,M407-012,250,478.8,137767.74,,,,1129387
1000000271,28/04/2015,1000909,,M407-012,60,232.81,16077.29,,,,221223
1000000275,28/04/2015,1000909,,M407-012,100,8.28,977.72,,,,361379
1000000288,28/04/2015,1000910,,M407-012,1700,2.09,4193.23,,,,1381555
1000000294,29/04/2015,1000910,,M407-012,120,13.54,1869.97,,,,424469
1000000310,29/04/2015,1000910,,M407-012,200,43.31,9969.93,,,,1028185
1000000319,29/04/2015,1000910,,M407-012,1050,227.34,274733.27,,,,1762458
1000000322,29/04/2015,1000910,,M407-012,300,9.91,3523.22,,,,1146127
1000000323,29/04/2015,1000910,,M407-012,300,608.35,215582.95,,,,3009430
