Region,State,LocationType,SyncId,Active,STD
EAST,DL,STATE,DL,1,91
EAST,HR,STATE,HR,1,91
EAST,PB,STATE,PB,1,91
EAST,CH,STATE,CH,1,91
EAST,HP,STATE,HP,1,91
EAST,JK,STATE,JK,1,91
EAST,UP,STATE,UP,1,91
EAST,UL,STATE,UL,1,91
EAST,WB,STATE,WB,1,91
EAST,RJ,STATE,RJ,1,91
EAST,GJ,STATE,GJ,1,91
EAST,DD,STATE,DD,1,91
EAST,MH,STATE,MH,1,91
EAST,MP,STATE,MP,1,91
EAST,CT,STATE,CT,1,91
EAST,TG,STATE,TG,1,91
EAST,AP,STATE,AP,1,91
EAST,KA,STATE,KA,1,91
EAST,TN,STATE,TN,1,91
EAST,KL,STATE,KL,1,91
EAST,AS,STATE,AS,1,91
EAST,OR,STATE,OR,1,91
EAST,AR,STATE,AR,1,91
EAST,MN,STATE,MN,1,91
EAST,NL,STATE,NL,1,91
EAST,TR,STATE,TR,1,91
EAST,BR,STATE,BR,1,91
EAST,JH,STATE,JH,1,91
