DistInvDocId*,Vdate*,SyncId*,PriceList,ItemCodeSyncCode*,Qty,Rate,Amount,taxPer,Tax_Amt,ExciseAmount,Net_Total,EmployeeSyncId*,LocationSyncID*,ItemRemarks,Porder,Category
Varchar(30),Datetime(dd/mm/yyyy),varchar(50),varchar(25),varchar(50),"numeric(9,2)","numeric(9,2)","numeric(15,2)","numeric(9,2)","numeric(9,2)","numeric(15,2)","numeric(15,2)",varchar(50),varchar(50),varchar(255),varchar(30),varchar(5)
1000000011,11/04/2015,1000241,,M051400304,195,186.87,36439.65,,,,36439.65,1006,1000,,Test,SAP
1000000021,14/04/2015,1000360,,M032801140,16,960,15360,,,,15360,1341,1000,,Test,SAP
1000000037,14/04/2015,1000183,,M051400309,30,936.9,28107,,,,28107,1017,1000,,Test,SAP
1000000054,16/04/2015,1000194,,M012110503,800,17.61,14088,,,,14088,1006,1000,,Test,SAP
1000000064,16/04/2015,1000966,,M052401114,400,3.74,1496,,,,1496,1017,1000,,Test,SAP
1000000071,17/04/2015,1000358,,M021160302,40,328.21,13128.4,,,,13128.4,1026,1000,,Test,SAP
1000000093,18/04/2015,1000054,,M032800108,20,712.24,14244.8,,,,14244.8,1341,1000,,Test,SAP
1000000104,18/04/2015,1000443,,F052806501,800,11.71,9368,,,,9368,0,1000,,Test,SAP
